Energy(1/cm),Absorbance
3.610602e+002,-1.072747e-003
3.610753e+002,-6.406047e-004
3.610903e+002,-3.144607e-004
3.611054e+002,-1.063804e-004
3.611205e+002,1.428101e-005
3.611355e+002,1.018328e-004
3.611506e+002,2.097228e-004
3.611656e+002,3.678110e-004
3.611807e+002,5.689858e-004
3.611958e+002,7.736727e-004
3.612109e+002,9.283470e-004
3.612259e+002,9.869577e-004
3.612410e+002,9.277493e-004
3.612561e+002,7.558484e-004
3.612711e+002,5.006124e-004
3.612862e+002,2.023304e-004
3.613013e+002,-1.004177e-004
3.613163e+002,-3.767363e-004
3.613314e+002,-6.048381e-004
3.613465e+002,-7.696179e-004
3.613615e+002,-8.598050e-004
3.613766e+002,-8.719079e-004
3.613917e+002,-8.134405e-004
3.614067e+002,-7.065385e-004
3.614218e+002,-5.886579e-004
3.614369e+002,-5.070192e-004
3.614519e+002,-5.062580e-004
3.614670e+002,-6.173121e-004
3.614821e+002,-8.502481e-004
3.614971e+002,-1.193602e-003
3.615122e+002,-1.620343e-003
3.615273e+002,-2.096293e-003
3.615423e+002,-2.588488e-003
3.615574e+002,-3.068874e-003
3.615724e+002,-3.513793e-003
3.615875e+002,-3.900138e-003
3.616026e+002,-4.204241e-003
3.616176e+002,-4.406956e-003
3.616327e+002,-4.498424e-003
3.616478e+002,-4.483077e-003
3.616628e+002,-4.382716e-003
3.616779e+002,-4.233642e-003
3.616930e+002,-4.075259e-003
3.617080e+002,-3.936652e-003
3.617231e+002,-3.827921e-003
3.617382e+002,-3.738151e-003
3.617532e+002,-3.638670e-003
3.617683e+002,-3.494796e-003
3.617834e+002,-3.278336e-003
3.617984e+002,-2.977730e-003
3.618135e+002,-2.600477e-003
3.618286e+002,-2.169260e-003
3.618436e+002,-1.712862e-003
3.618587e+002,-1.260311e-003
3.618738e+002,-8.318612e-004
3.618888e+002,-4.363879e-004
3.619039e+002,-7.580407e-005
3.619190e+002,2.506982e-004
3.619340e+002,5.423783e-004
3.619491e+002,7.914978e-004
3.619642e+002,9.835704e-004
3.619792e+002,1.097991e-003
3.619943e+002,1.113504e-003
3.620094e+002,1.015984e-003
3.620244e+002,8.036803e-004
3.620395e+002,4.913906e-004
3.620546e+002,1.116098e-004
3.620696e+002,-2.900248e-004
3.620847e+002,-6.609847e-004
3.620998e+002,-9.575445e-004
3.621148e+002,-1.150611e-003
3.621299e+002,-1.233054e-003
3.621450e+002,-1.221853e-003
3.621600e+002,-1.149950e-003
3.621751e+002,-1.053642e-003
3.621902e+002,-9.608176e-004
3.622052e+002,-8.807369e-004
3.622203e+002,-8.027581e-004
3.622354e+002,-7.012456e-004
3.622504e+002,-5.452757e-004
3.622655e+002,-3.150567e-004
3.622805e+002,-1.305462e-005
3.622956e+002,3.336885e-004
3.623107e+002,6.769256e-004
3.623257e+002,9.597932e-004
3.623408e+002,1.131144e-003
3.623559e+002,1.159914e-003
3.623709e+002,1.042786e-003
3.623860e+002,8.018214e-004
3.624011e+002,4.738764e-004
3.624161e+002,9.626505e-005
3.624312e+002,-3.043289e-004
3.624463e+002,-7.188111e-004
3.624614e+002,-1.154445e-003
3.624764e+002,-1.621003e-003
3.624915e+002,-2.119243e-003
